D:\Mr Tuan white\Tuan\CONG TRINH\An Giang\Cau Long Binh\TKKT\Ho so xuat\2010-09\30080 & 30090_Bo tri dau mo A1, A2-cau Kenh-new2.dwg,Dau mo cau Kenh so 2,11/17/2010 3:46:56 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\01. Expansion Joint\Expansion Joint 10cm_OP3.dwg,Layout1,12/12/2010 6:10:17 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\02. Transition Slab\Transition Slab _ OP3.dwg,OP3,12/12/2010 6:10:56 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP3.dwg,OP3-4,12/12/2010 6:11:43 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP3.dwg,OP3-4,12/12/2010 6:11:59 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP3.dwg,OP3-4,12/12/2010 6:12:21 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP3.dwg,OP3-4,12/12/2010 6:12:35 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\04. Slope protection of Abut\Slope protection of Abut OP3.dwg,Layout1,12/12/2010 6:12:55 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\04. Slope protection of Abut\Slope protection of Abut OP3.dwg,Layout1,12/12/2010 6:13:08 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\01. Expansion joint\Expansion Joint OP4.dwg,Layout1,12/12/2010 6:14:23 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\02. Transition Slab\Transition Slab _ OP4.dwg,OP3,12/12/2010 6:15:27 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP4.dwg,OP3-4,12/12/2010 6:18:37 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
